taxon_id	speciesName	order	patch_area	change_patch_area	habitat_intactness_p5	habitat_intactness_p10	habitat_intactness_p50	habitat_intactness_p90	habitat_intactness_p95	change_habitat_intactness_p5	change_habitat_intactness_p10	change_habitat_intactness_p50	change_habitat_intactness_p90	change_habitat_intactness_p95	patch_intactness_p5	patch_intactness_p10	patch_intactness_p50	patch_intactness_p90	patch_intactness_p95	change_patch_intactness_p5	change_patch_intactness_p10	change_patch_intactness_p50	change_patch_intactness_p90	change_patch_intactness_p95	habitat_breadth	range_size	gestation_length	weaning_age	realm	criterionB	rl_cat	threatened_status
62014	Microgale gymnorhyncha	Afrosoricida	0.014264361	-0.013748937	0.005	0.011	0.068	0.176	0.216	0	-0.001	-0.011	-0.036	-0.042	0.206	0.223	0.259	0.308	0.32	-0.017	-0.03	-0.052	-0.096	-0.107	2	77606	70.342	48.677	Afrotropic	0	LC	Non-threatened
18230	Procapra przewalskii	Cetartiodactyla	0.020522388	-0.001865672	0.011	0.013	0.046	0.103	0.172	0	0	-0.002	-0.005	-0.003	0.291	0.295	0.331	0.495	0.504	0.004	0.003	-0.004	-0.002	-0.001	2	1072	175.03	91.115	Palearctic	1	EN	Threatened
18743	Pteropus niger	Chiroptera	0	0	0	0	0.001	0.011	0.018	0	0	-0.001	0	0.004											3	4360	160.773	131.275	Afrotropic	0	EN	Threatened
181007989	Loxodonta cyclotis	Proboscidea	0.479731227	-0.137650339	0.022	0.043	0.252	0.543	0.612	-0.005	-0.008	-0.049	-0.102	-0.107	0.261	0.284	0.41	0.614	0.674	0	-0.003	-0.043	-0.079	-0.117	2	428615			Afrotropic	0	CR	Threatened
14921	Nyctalus aviator	Chiroptera	0.009949373	8.67747E-05	0	0	0.002	0.04	0.072	0	0	0	-0.001	-0.001	0.149	0.213	0.45	0.616	0.644	0	-0.004	-0.007	-0.002	-0.002	1	841259	85.364	59.44	Palearctic	0	NT	Non-threatened
1584	Antechinus leo	Dasyuromorphia	0.846278317	-0.00023116	0.144	0.291	0.759	0.965	0.973	0	0	0	0	0.001	0.471	0.539	0.807	0.968	0.974	0	-0.001	0	0.001	0.001	2	4326	30.99	100	Australasia	0	LC	Non-threatened
41400	Sorex hoyi	Eulipotyphla	0.651189459	-0.001620578	0	0.002	0.761	1	1	0.001	0	-0.003	0	0	0.428	0.555	0.968	1	1	-0.001	-0.001	0	0	0	7	6924074	27.436	37.511	Nearctic	0	LC	Non-threatened
548	Aepeomys lugens	Rodentia	0	0	0.001	0.002	0.014	0.047	0.055	0	0	-0.001	-0.003	-0.002											3	9553	22.5	22.522	Neotropic	0	LC	Non-threatened
136269	Eulemur rufifrons	Primates	0.028795652	-0.015878832	0.013	0.02	0.073	0.15	0.176	-0.002	-0.003	-0.013	-0.027	-0.032	0.183	0.196	0.268	0.325	0.331	-0.003	-0.011	-0.019	-0.054	-0.057	3	32748	119.415	153	Afrotropic	0	VU	Threatened
11161	Lagorchestes conspicillatus	Diprotodontia	0.525572862	-0.000478728	0.054	0.088	0.319	0.961	0.995	-0.001	-0.001	-0.001	-0.001	0	0.296	0.343	0.744	0.995	0.999	0	0	-0.001	-0.001	0	4	1892514	30.545	204	Australasia	0	LC	Non-threatened
550	Aepyceros melampus	Cetartiodactyla	0.105166288	-0.020052618	0.001	0.002	0.05	0.256	0.354	0	0	-0.007	-0.027	-0.033	0.213	0.24	0.348	0.542	0.619	-0.005	-0.003	-0.004	0.005	-0.005	2	3337619	196.74	167	Afrotropic	0	LC	Non-threatened
39828	Pygathrix nigripes	Primates	0.060094545	-0.026407714	0.001	0.002	0.029	0.145	0.275	0	-0.001	-0.007	-0.043	-0.084	0.226	0.249	0.343	0.507	0.527	-0.038	-0.034	-0.068	-0.126	-0.117	2	95616	182.88	330	Indomalayan	0	CR	Threatened
